operacao|dv|convenioTgov|propostaTgov|nomeTomador|cnpjTomador|emailTomador|classificacao|objeto|selecao|assinatura|vigencia|vi|vr|cp1|cp2|vrCreditado|vrDesbloqueado|vrSaldoCreditado|cpDesbloqueado|valorExecucaoVigente|cAgencia|agencia|cCorrente|idExterna|obtv|gestor|etiquetasDaOperacao
1080453|25|922513|478732021|MUNICIPIO DE UMBUZEIRO - PB|08.869.489/0001-44|macianaazevedomaia@gmail.com;marquinhosmsc@hotmail.com;umbuzeiro.pmu@gmail.com;ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo de ruas no município de umbuzeiro/pb.|13/12/2021|27/12/2021|30/09/2025|290000|287306|2694|0|0|0|0|0|290000|41|CAMPINA GRANDE|0041.006.00647922-0||SIM|MCIDADES|Aguardando Processo Licitatório, Análise Técnica Concluída, Apostilamento PC033/2023, EGT 3 - LAT emitido, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS
1080521|80|923429|510062021|MUNICIPIO DE PEDRA LAVRADA - PB|08.740.466/0001-35|gabinete@pedralavrada.pb.gov.br;contato@consultoriaum.com.br;engenharia@pedralavrada.pb.gov.br;robertojvc40@gmail.com;ag0737@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;claudia.m.brito@caixa.gov.br|Nível II (PI 424/16 e IN MPDG 002/18)|construção de mercado público no município de pedra lavrada - pb|15/12/2021|31/12/2021|31/12/2025|1549876,17|1529214|20662,17|0|1529214|1314444,34|214769,66|13585,32|1549876,17|4916|PICUI, PB|4916.006.00647071-8||SIM|MIDR|Andamento Normal, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Não acompanhada pelo módulo de acompanhamento de obras, Nível II (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário
1080523|29|921597|64822021|MUNICIPIO DE POCO DANTAS - PB|01.615.653/0001-48|ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;clara_honorato@hotmail.com;bclaudemy@yahoo.com.br;cbs.claudineide@yahoo.com.br;elielzagb@yahoo.com.br;riceliolg2@bol.com.br;isn.2@iramiltonassessoria.com.br;itamarpoco@yahoo.com.br;jucelioandrade8@gmail.com;pm.pocodantas@yahoo.com.br|Nível I (PI 424/16 e IN MPDG 002/18)|adequação de estradas vicinais.|16/12/2021|31/12/2021|30/09/2025|478500|477500|1000|0|0|0|0|0|478500|40|CAJAZEIRAS|0040.006.00647292-0||SIM|MAP|Aguardando Crédito de Recursos, Apostilamento PC033/2023, Contrato com TA de alteração - PC 33/2023, EGT 4 - Aceito - Fase de Licitação, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, VRPL Aceito e sem AIO
1080526|97|921596|99482021|MUNICIPIO DE POCO DE JOSE DE MOURA - PB|01.615.784/0001-25|conveniospoco@gmail.com;gabinete@pocodejosedemoura.pb.gov.br;isn.2@iramiltonassessoria.com.br;jonataspessoa@gmail.com;wiaramygmc@gmail.com;ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação no município de poço de josé de moura - pb|16/12/2021|05/05/2022|05/05/2025|239250|238750|500|0|13483,79|0|13483,79|0|239250|40|CAJAZEIRAS|0040.006.00647286-6||SIM|MAP|Aguardando Processo Licitatório, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Liminar Judicial, Módulo PI424/PC33 Sem Evolução Financeira, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada (+180 dias), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, Rescisão de CTEF / Abandono de Obra, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado
1080527|11|921601|108242021|MUNICIPIO DE CAJAZEIRAS - PB|08.923.971/0001-15|ag0040@caixa.gov.br;martoni.sobral@caixa.gov.br;paulo.medeiros@caixa.gov.br;seg6915pb@caixa.gov.br;isn.1@iramiltonassessoria.com.br;gabinetecajazeiras@gmail.com;prefeitasocorrodelfino@gmail.com;prefeito@cajazeiras.pb.gov.br;semosp@cajazeiras.pb.gov.br;thomas.seplancz@gmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|pavimentação.|16/12/2021|28/07/2023|28/07/2026|957000|955000|2000|0|0|0|0|0|957000|40|CAJAZEIRAS|0040.006.00647285-8||SIM|MAP|Apostilamento PC033/2023, Cláusula Suspensiva (prorrogação), Contrato com TA de alteração - PC 33/2023, EGT 3 - Solicitada Complementação, Liminar Judicial, Nível I-A (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS
1080528|36|921593|141972021|MUNICIPIO DE SAO JOSE DE ESPINHARAS - PB|08.882.730/0001-75|contato@prestcontas.com.br;fernandofilho.engcivil@gmail.com;financas@saojosedeespinharas.pb.gov.br;gabinetedaprefeita@saojosedeespinharas.pb.gov.br;isn.1@iramiltonassessoria.com.br;ag0043@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I-A (PI 424/16 e IN MPDG 002/18)|adequação de estradas vicinais.|16/12/2021|31/12/2021|30/09/2025|955965|955000|965|0|0|0|0|0|955965|4982||4982.006.00647011-4||SIM|MAP|Aguardando Crédito de Recursos, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Nível I-A (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, VRPL Aceito e sem AIO
1080557|44|921580|451092021|MUNICIPIO DE SALGADO DE SAO FELIX - PB|09.072.463/0001-33|contato@prestcontas.com.br;fernandot_dilorenzo@hotmail.com;isn.2@iramiltonassessoria.com.br;oliveirajoni@hotmail.com;salgado.infra.pb.gov@gmail.com;petronilovieiraneto@gmail.com;ag0733@caixa.gov.br;jaime.lima@caixa.gov.br;helio.p.junior@caixa.gov.br;shardson.rodrigues@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br|Nível I-A (PI 424/16 e IN MPDG 002/18)|construção de feira.|16/12/2021|31/12/2021|30/09/2025|1223933,3|1146000|77933,3|0|0|0|0|0|1223933,3|733|ITABAIANA DO NORTE|0733.006.00647262-6||SIM|MAP|Análise Técnica Concluída, Apostilamento PC033/2023, EGT 4 - Em Análise - Fase de Licitação, Nível I-A (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 9 - Relator
1080591|59|920741|499642021|MUNICIPIO DE BOM SUCESSO - PB|08.920.571/0001-56|ag3518@caixa.gov.br;seg6915pb@caixa.gov.br;martoni.sobral@caixa.gov.br;dinete.almeida@caixa.gov.br;isn.1@iramiltonassessoria.com.br;jpatricio1950@gmail.com;tairisduarte@hotmail.com;railsonoliveira1991@gmail.com;pcsobrinho1965@gmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|adequação de estradas vicinais.|16/12/2021|29/12/2021|30/09/2025|956000|955000|1000|0|955000|921605,97|33394,03|1000|922605,97|3518|CATOLE DO ROCHA, PB|3518.006.00647081-9||SIM|MAP|1º Desbloqueio ocorreu após 180 dias do 1º Crédito, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Concluída, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 9 - Relator, Saldo Poupança < Saldo Creditado
1080604|41|922561|508802021|MUNICIPIO DE PRINCESA ISABEL - PB|08.888.968/0001-08|adly.xavier@outlook.com;ednaldomelo234@gmail.com;fabiobrazp@gmail.com;macianaazevedomaia@gmail.com;ripetroleoltda@gmail.com;ag0043@caixa.gov.br;ailton.sousa@caixa.gov.br;carlos.fragoso@caixa.gov.br;miguel.a.filho@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I-A (PI 424/16 e IN MPDG 002/18)|pavimentação de ruas no município de princesa isabel/pb, localizadas dentro do perímetro urbano.|16/12/2021|29/12/2021|30/06/2025|969619|960019|9600|0|960019|909813,85|50205,15|9600|935126,09|43|PATOS|0043.006.00648062-8||SIM|MCIDADES|Ações Pendentes no Módulo PI424/PC33 Sem Evolução Financeira, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Impacta no IGAT, Módulo Paralisadas, Módulo PI424/PC33 Sem Evolução Financeira, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 180 Dias do Último Desbloqueio
1080605|79|924933|508862021|MUNICIPIO DE PIRPIRITUBA|08.789.299/0001-17|ag0042@caixa.gov.br;ag0042pb02@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;claudia.m.brito@caixa.gov.br;alanaudo@yahoo.com.br;lisboalucena@hotmail.com;danilorocha.pirpirituba@gmail.com;convenios@pirpirituba.pb.gov.br;gabinete.pirpirituba@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de diversas ruas no conjunto oliveiro lucena, localizado no perímetro urbano do município de pirpirituba-pb.|16/12/2021|30/12/2021|30/06/2025|287596|287306|290|0|287306|111134,67|176171,33|140,85|229111,99|42|GUARABIRA|0042.006.00647434-7||SIM|MCIDADES|Ações Pendentes no Módulo PI424/PC33 Sem Evolução Financeira, Aplicação retroativa de regras da PC 33/2023 (TA), Apostilamento PC033/2023, Contrato com TA de alteração - PC 33/2023, EGT 4 - Aceito - Fase de Licitação, Impacta no IGAT, Módulo Paralisadas, Módulo PI424/PC33 Sem Evolução Financeira, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RP 2 - Discricionário, Sem Desbloqueio Após 180 Dias do Último Desbloqueio
1080608|33|922909|509042021|MUNICIPIO DE POMBAL - PB|08.948.697/0001-39|gabinete@pombal.pb.gov.br;alexandre_ffernandes@hotmail.com;planejamento@pombal.pb.gov.br;alineflorentino.fasp@gmail.com;argomes18@gmail.com;carolinequeiroga@gmail.com;engjordanyqueiroga@gmail.com;jpvh97@gmail.com;myllenaamk@gmail.com;nathangomes.eng@gmail.com;pauloricardoffvieira@hotmail.com;pmpombalpb.epc@gmail.com;prefeitogavel@gmail.com;raphaelgavel@hotmail.com;ag0732@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br|Nível II (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo e drenagem no município de pombal - pb|16/12/2021|27/12/2021|27/12/2025|1915000|1912356|2644|0|382471,2|193147,21|189323,99|314,22|1627878,52|732|POMBAL|0732.006.00647388-0||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Módulo Paralisadas, Nível II (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário
1080609|59|922907|509162021|MUNICIPIO DE SAO JOSE DE PRINCESA - PB|01.612.684/0001-45|engenheiro.fabriciomarques@gmail.com;contato@prestcontas.com.br;josegaudencio.com@gmail.com;julianojf2@gmail.com;maciana.azevedo@hotmail.com;medeirosconsultoriapb@gmail.com;migueladriano90@gmail.com;niwniwferreira@gmail.com;ag0043@caixa.gov.br;ailton.sousa@caixa.gov.br;carlos.fragoso@caixa.gov.br;miguel.a.filho@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de ruas no município de são josé de princesa/pb, localizadas dentro do perímetro urbano.|16/12/2021|30/12/2021|30/09/2025|290179|287306|2873|0|287306|78409,34|208896,66|991,82|230001,89|43|PATOS|0043.006.00648066-0||SIM|MCIDADES|Andamento Normal, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado
1080614|56|922896|510002021|MUNICIPIO DE SOLANEA - PB|08.787.236/0001-21|claudia.m.brito@caixa.gov.br;ag0038@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;cassiorichellycivil@hotmail.com;jucianjad@hotmail.com;lucianageorgiagmc@hotmail.com;contato@consultoriaum.com.br;gestaopublica@solanea.pb.gov.br;miltonfilho_790@hotmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo e drenagem no bairro centro, localizado no município de solânea - pb|16/12/2021|27/12/2021|30/05/2025|961000|960019|981|0|960019|924465,19|35553,81|981|925446,19|38|BANANEIRAS|0038.006.00647253-9||SIM|MCIDADES|Aguardando PCF, Apostilamento PC033/2023, Apta para EGT 6, Dossiê Digital (OGU), EGT 4 - Aceito - Fase de Licitação, Não acompanhada pelo módulo de acompanhamento de obras, Nível I-A (PI 424/16 e IN MPDG 002/18), Obra Concluída, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, Radar TCE, RAP 2021 Desbloqueado, RP 2 - Discricionário
1080617|22|922898|510862021|MUNICIPIO DE BONITO DE SANTA FE - PB|08.924.037/0001-18|aldaraararuna@gmail.com;alfilho@hotmail.com;liraassis98@gmail.com;fidelestorres@gmail.com;administracao@bonitodesantafe.pb.gov.br;kerledayana@gmail.com;contato@consultoriaum.com.br;ag0040@caixa.gov.br;silvio.melo@caixa.gov.br;alberes.carneiro@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em paralelepípedo e drenagem no bairro populares, localizado no município de bonito de santa fé - pb|16/12/2021|30/12/2021|26/06/2025|676000|674903|1097|0|674903|536486,71|138416,29|1097|617157,37|40|CAJAZEIRAS|0040.006.00647289-0||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Impacta no IGAT, Módulo acompanhamento de obras, Módulo Paralisadas, Módulo PI424/PC33 Sem Evolução Financeira, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 180 Dias do Último Desbloqueio, Termo Aditivo - Assinatura Digital
1080650|12|923512|508572021|MUNICIPIO DE JOAO PESSOA - PB|08.778.326/0001-56|ag1909@caixa.gov.br;ag1909pb02@caixa.gov.br;seg6918pb@caixa.gov.br;bruno.vilar@caixa.gov.br;ana.n.rodrigues@caixa.gov.br;adriana.cassimirobatista@hotmail.com;ana.maria.patos@hotmail.com;arqglaualmeida@hotmail.com;dianaraduarte@hotmail.com;diegotavaresjp@gmail.com;glauciene.soares@joaopessoa.pb.gov.br;isabela_queiroga@hotmail.com;israelvcac@gmail.com;jaelsonjpa@hotmail.com;eng.arq.smsjp@gmail.com;eng_cassiareis@hotmail.com;ildebertosec.executivosemhab@gmail.com;julianny.albuquerque@joaopessoa.pb.gov.br;k.cilenejp@gmail.com;socialsemhab@gmail.com;karlasouza_02@gmail.com;kel_bfeitosa@hotmail.com;lucianomedeiros96@hotmail.com;marcos.arquiteto@live.com;margo.gapre@gmail.com;norma.gouveia1@gmail.com;pereiraln@gmail.com;pmjpseplanconvenios@gmail.com;rpr.rodrigues@gmail.com;rubensfalcao@gmail.com;samanda.silva@joaopessoa.pb.gov.br;sheilafreire@hotmail.com;sosgadelha@yahoo.com.br;thatiana.seinfra@gmail.com;tonissouza@gmail.com;zupsi@hotmail.com|Nível III-A (PI 424/16 e IN MPDG 002/18)|execução de obras de implantação, ampliação, restauração, reforma e/ou adaptação de espaços e logradouros públicos urbanos como: calçadas, praças, parques, feiras públicas, áreas de lazer, calçadões, ciclovias integradas aos passeios, rotas acessíveis, es|17/12/2021|30/12/2021|30/09/2026|9766694,82|9575191|191503,82|0|3830076,4|2208739,77|1621336,63|126965,66|9766694,82|1909|CIDADE ANTIGA|1909.006.00647198-0||SIM|MCIDADES|Andamento Normal, Apostilamento PC033/2023, Desbloqueio em Andamento, EGT 4 - Aceito - Fase de Licitação, Módulo acompanhamento de obras, Nível III-A (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado
1080651|37|923520|508582021|MUNICIPIO DE JOAO PESSOA - PB|08.778.326/0001-56|ag1909@caixa.gov.br;ag1909pb02@caixa.gov.br;seg6918pb@caixa.gov.br;bruno.vilar@caixa.gov.br;ana.n.rodrigues@caixa.gov.br;adriana.cassimirobatista@hotmail.com;ana.maria.patos@hotmail.com;arqglaualmeida@hotmail.com;dianaraduarte@hotmail.com;diegotavaresjp@gmail.com;glauciene.soares@joaopessoa.pb.gov.br;isabela_queiroga@hotmail.com;israelvcac@gmail.com;jaelsonjpa@hotmail.com;eng.arq.smsjp@gmail.com;eng_cassiareis@hotmail.com;ildebertosec.executivosemhab@gmail.com;julianny.albuquerque@joaopessoa.pb.gov.br;k.cilenejp@gmail.com;socialsemhab@gmail.com;karlasouza_02@gmail.com;kel_bfeitosa@hotmail.com;lucianomedeiros96@hotmail.com;marcos.arquiteto@live.com;margo.gapre@gmail.com;norma.gouveia1@gmail.com;pereiraln@gmail.com;pmjpseplanconvenios@gmail.com;rpr.rodrigues@gmail.com;rubensfalcao@gmail.com;samanda.silva@joaopessoa.pb.gov.br;sheilafreire@hotmail.com;sosgadelha@yahoo.com.br;thatiana.seinfra@gmail.com;tonissouza@gmail.com;zupsi@hotmail.com|Nível III-A (PI 424/16 e IN MPDG 002/18)|execução de obras de implantação, ampliação, restauração, reforma e/ou adaptação de espaços públicos urbanos como: calçadas, praças, parques, áreas de lazer, calçadões, rotas acessíveis, estruturas para a prática de atividades físicas e demais lugares de|17/12/2021|30/12/2021|30/09/2026|9766694,82|9575191|191503,82|0|7560987,35|3573375,15|3987612,2|191503,82|9766694,82|1909|CIDADE ANTIGA|1909.006.00647199-8||SIM|MCIDADES|Andamento Normal, Apostilamento PC033/2023, Desbloqueio em Andamento, EGT 4 - Aceito - Fase de Licitação, Módulo acompanhamento de obras, Nível III-A (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado
1080655|29|923442|509922021|MUNICIPIO DE EMAS - PB|08.944.084/0001-23|prefeita@emas.pb.gov.br;engenharia@emas.pb.gov.br;eulandaferreira@hotmail.com;macianaazevedomaia@gmail.com;gabinete@emas.pb.gov.br;ag0043@caixa.gov.br;ailton.sousa@caixa.gov.br;carlos.fragoso@caixa.gov.br;miguel.a.filho@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;paulo.medeiros@caixa.gov.br|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação de estradas vicinais, no município de emas/pb.|17/12/2021|30/12/2021|30/09/2025|633000|626453|6547|0|626453|0|626453|0|633000|43|PATOS|0043.006.00648071-7||SIM|MIDR|Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado
1080656|44|923378|510022021|MUNICIPIO DE CATOLE DO ROCHA - PB|09.067.562/0001-27|ag3518@caixa.gov.br;seg6915pb@caixa.gov.br;martoni.sobral@caixa.gov.br;dinete.almeida@caixa.gov.br;isn.1@iramiltonassessoria.com.br;lauri.robson@gmail.com;lauro.adolfo@hotmail.com;financas@catoledorocha.pb.gov.br;francinetevieira9@hotmail.com;construtoraalpha1@gmail.com|Nível II (PI 424/16 e IN MPDG 002/18)|implantação de pavimentação em vias públicas urbanas do município de catolé do rocha-pb.|17/12/2021|30/12/2021|30/12/2025|2777425|2774425|3000|0|2285562,6|1461396,23|824166,37|1918,21|2288562,6|3518|CATOLE DO ROCHA, PB|3518.006.00647083-5||SIM|MCIDADES|Andamento Normal, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Módulo acompanhamento de obras, Nível II (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio, Termo Aditivo - Assinatura Digital
1080658|85|923053|511412021|MUNICIPIO DE PATOS - PB|09.084.815/0001-70|ag0043@caixa.gov.br;carlos.fragoso@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;paulo.medeiros@caixa.gov.br;jairton.sousa@caixa.gov.br;deividy.seinfra@patos.pb.gov.br;eng.dariomorais@hotmail.com;eulandaferreira@hotmail.com;eulandaferreira2@hotmail.com;gabinete@patos.pb.gov.br;hilton.seinfra@patos.pb.gov.br;jmarconesantos4@gmail.com;bomfim.seinfra@patos.pb.gov.br;marcone.seinfra@patos.pb.gov.br;virginia.seinfra@patos.pb.gov.br;convenios@patos.pb.gov.br;pmpatospb.epc@gmail.com|Nível II (PI 424/16 e IN MPDG 002/18)|pavimentação no município de patos - pb|17/12/2021|31/12/2021|31/12/2025|3835865|3828065|7800|0|3828065|3219736,77|608328,23|7800|3835865|43|PATOS|0043.006.00648065-2||SIM|MCIDADES|Aguardando BM/RRE, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Módulo Paralisadas, Não acompanhada pelo módulo de acompanhamento de obras, Nível II (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado, Termo Aditivo - Assinatura Digital
1080659|09|923417|511872021|MUNICIPIO DE COREMAS - PB|08.939.936/0001-94|ag0732@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;marquesaeng.civil@gmail.com;pm.coremas.financas@gmail.com;pmcoremaspb.epc@gmail.com;prefeitoedilson.coremas@gmail.com|Nível I-A (PI 424/16 e IN MPDG 002/18)|pavimentação no município de coremas - pb|17/12/2021|30/12/2021|30/09/2025|768141|767341|800|0|0|0|0|0|768141|732|POMBAL|0732.006.00647390-2||SIM|MCIDADES|Aguardando Crédito de Recursos, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Impedido por Regra 180 Dias, Nível I-A (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, VRPL Aceito e sem AIO
1080660|26|923394|511882021|MUNICIPIO DE GURJAO - PB|09.073.685/0001-70|ag0041@caixa.gov.br;a0041pb08@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br;pmgurjaopb.epc@gmail.com;pmgurjao@globomail.com;financasgurjao@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação em diversas ruas|17/12/2021|31/12/2021|28/09/2025|287606|287306|300|0|287306|0|287306|0|287606|41|CAMPINA GRANDE|0041.006.00647927-0||SIM|MCIDADES|Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Nível I (PI 424/16 e IN MPDG 002/18), Obra Não Iniciada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado
1080666|59|922935|39442021|MUNICIPIO DE BARRA DE SANTA ROSA - PB|08.993.925/0001-92|ag1668@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;bruno.vilar@caixa.gov.br;eng.kauebrito@gmail.com;engenhariapmbsr@gmail.com;isn.2@iramiltonassessoria.com.br;gabinete.pmbsr@gmail.com;luanamartins25@hotmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|adequação de estradas vicinais|20/12/2021|31/12/2021|30/09/2025|477977,98|477500|477,98|0|0|0|0|0|477977,98|1668|ESPERANCA|1668.006.00647282-0||SIM|MAP|Aguardando Crédito de Recursos, Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Nível I (PI 424/16 e IN MPDG 002/18), OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, RAP 2021 Desbloqueado, RAP 2021 Liquidado, RP 2 - Discricionário, VRPL Aceito e sem AIO
1080667|74|922934|67822021|MUNICIPIO DE LAGOA - PB|09.151.796/0001-58|ag0732@caixa.gov.br;jairton.sousa@caixa.gov.br;gustavo.m.araujo@caixa.gov.br;martoni.sobral@caixa.gov.br;seg6915pb@caixa.gov.br;geraldo.i.lacerda@caixa.gov.br;diogenesadm1@gmail.com;isn.1@iramiltonassessoria.com.br;pm1lagoa.pb.gov@hotmail.com;prefeitura@lagoa.pb.gov.br;reneluzb@gmail.com|Nível I (PI 424/16 e IN MPDG 002/18)|pavimentação.|20/12/2021|29/12/2021|30/09/2025|239350|238750|600|0|238750|177710,8|61039,2|600|179665,7|732|POMBAL|0732.006.00647387-2||SIM|MAP|Apostilamento PC033/2023, EGT 4 - Aceito - Fase de Licitação, Em Reprogramação, Módulo Paralisadas, Não acompanhada pelo módulo de acompanhamento de obras, Nível I (PI 424/16 e IN MPDG 002/18), Obra Paralisada, OBTV, PC 33/2023 - EXECUÇÃO 365 DIAS, Pot Medição 25.1, RAP 2021 Desbloqueado, RP 2 - Discricionário, Saldo Poupança < Saldo Creditado, Sem Desbloqueio Após 90 Dias do Último Desbloqueio
