operacaoctef|ctefctef|cnpjctef|empresactef
1047251|208002/2019|09.323.098/0001-92|construtora rocha cavalcante ltda
1043974|7024/2021|07.308.813/0001-92|gl empreendimentos ltda
1043974|7024/2021|07.308.813/0001-92|gl empreendimentos ltda
1068980|136/2020|08.061.304/0001-70|cesarino construcoes eireli
1002217|58/2020|04.328.497/0001-22|m l dantas construcoes eireli
1057202|76/2020|24.658.568/0001-62|fm servicos ltda
1052738|118/2020|20.975.997/0001-02|awg engenharia ltda
1065881|136/2020|08.061.304/0001-70|cesarino construcoes eireli
1002217|58/2020|04.328.497/0001-22|m l dantas construcoes eireli
1048180|42/2019|30.309.072/0001-86|jose vagner barbosa de oliveira eireli
1061854|11/2020|22.346.772/0001-12|savires construcoes eireli
1035853|169/2020|33.330.526/0001-99|be distribuidora de produtos eireli
1061854|11/2020|22.346.772/0001-12|savires iluminacao e construcoes eireli
1064872|031/2020|23.916.946/0001-06|D K Construções Eireli (DISTRATADO)
1066008|16/2020|22.576.181/0001-31|nobrega e souza construções ltda
1035853|169/2020|33.330.526/0001-99|c de a ferreira e cia ltda
1035853|170/2020|07.239.645/0001-20|emilly industria e comercio de moveis ltda
1002217|58/2020|04.328.497/0001-22|m l dantas construcoes eireli
1055291|98/2020|29.878.872/0001-39|r f servicos de construcao civil eireli
1002217|58/2020|04.328.497/0001-22|m l dantas construcoes eireli
1068980|136/2021|08.061.304/0001-70|cesarino construcoes eireli
1068851|54/2020|04.441.785/0001-99|construtora suassuna & martins ltda
1055531|183/2020|33.375.398/0001-08|jose dionisio da silva filho eireli
1061702|69/2020|28.697.127/0001-20|jgm engenharia e incorporacao ltda
1062328|62/2020|33.894.347/0001-84|mg construcoes e servicos ltda
1013042|67/2020|33.506.391/0001-70|a s construcoes eireli
1064902|122/2020|20.227.311/0001-03|construtora j. galdino eireli
1030585|12/2020|26.635.344/0001-60|Campo Feliz Construções e Serviços Ltda. (Vencido)
1003841|67/2020|33.506.391/0001-70|a s construcoes eireli
1059698|13/2020|36.121.012/0001-11|pr construcoes eireli
1045267|60053/2020|05.079.341/0001-18|jose gomes de abreu sobrinho
1065660|208021/2020|09.323.098/0001-92|construtora rocha cavalcante ltda
1056401|98/2020|07.563.850/0001-47|j s da silva
1060357|2005/2020|35.042.630/0001-03|Somos Construções Eireli
1013042|27/2015|19.088.045/0001-98|ecomaq - empresa de construcao e maquinas eireli
1046920|138/2019|26.764.981/0001-37|obraplan empresa de limpeza e conservacao urbana ltda
0373042|5/2019|11.615.335/0001-30|macrotec equipamentos ltda
1052587|46/2020|29.711.343/0001-46|cp2 construcoes, servicos e locacoes eireli
1043999|111/2019|09.047.935/0001-06|A3T Construção e Incorporação Ltda
0306468|80/2017|24.024.359/0001-67|vn construcoes e incorporacoes eireli
0306468|23/2011|70.119.805/0001-34|gema construcoes e comercio ltda
0306468|107/2015|19.854.079/0001-46|impertec construcoes e servicos ltda
1044009|44/2019|11.170.603/0001-58|Covale Constr e Serv. (Rescindido)
1047884|7026/2019|09.047.935/0001-06|A3T Const e Incorp Ltda (CTEF 1 - Rescindido)
1043974|7013/2018|73.041.188/0001-90|comercial e construtora fenix eireli
1043974|7019/2018|19.563.875/0001-20|concrete servicos de urbanizacao construcao e incorporacao de empreendimentos ltda
1043974|7006/2019|05.475.046/0001-80|engemec construtora e incorporadora ltda
1043974|7004/2019|10.791.675/0001-50|potiguar construtora ltda
1043974|7005/2019|07.861.146/0001-70|construtora planicie ltda
1043974|7001/2019|10.791.675/0001-50|potiguar construtora ltda
0373042|4/2019|21.331.031/0001-03|construtora arara ltda
0373042|13/2016|11.615.335/0001-30|macrotec equipamentos ltda
0373042|26/2013|07.940.834/0001-26|cedro engenharia ltda.
1002217|101/2017|26.520.926/0001-00|maciel & rolim construcoes e servicos ltda
1002217|76/2014|10.997.953/0001-20|servcon construcoes comercio e servicos ltda - epp
0335669|5001/2017|11.381.605/0001-96|eicomnor engenharia impermeabilizacao comercio do nordeste limitada
1061704|7/2020|34.598.340/0001-88|nce construcao e impermeabilizacao eireli
1008388|399/2015|14.575.353/0001-24|viga engenharia ltda
1060211|180/2019|02.349.757/0001-10|accocil construcoes e locacoes eireli
1054116|158/2019|30.622.090/0001-13|cicero dos santos calixto
1003841|26/2015|19.088.045/0001-98|ecomaq - empresa de construcao e maquinas eireli
1055747|117/2019|26.092.337/0001-60|my servicos de construcoes eireli
1055747|117/2019|26.092.337/0001-60|my servicos de construcoes eireli
1040708|45/2019|26.092.337/0001-60|my servicos de construcoes eireli
1030585|31/2018|03.420.484/0001-16|Construtora Marferrei Ltda. (Vencido)
1044210|331/2019|20.010.332/0001-64|montbravo construcoes e servicos eireli
1035853|223/2019|08.449.096/0001-81|canapu comercio de distribuicao eireli
1035853|222/2019|19.296.355/0001-06|central da papelaria e comercio de informatica eireli
1035853|224/2019|20.934.278/0001-43|elohim comercial e servicos eireli
1041810|65/2019|04.441.785/0001-99|construtora suassuna & martins ltda
1045587|5101/2019|01.084.111/0001-96|ecol engenharia e construcoes ltda
1034012|5/2017|08.780.160/0001-02|melf construtora eireli - epp
1072724|000122021/2021|14.313.165/0001-28|TORRES CONSTRUCOES LTDA
1074444|012022/2022|26.781.189/0001-90|MENDES & FERREIRA CONSTRUCOES LTDA
1003841|000116/2022|44.459.047/0001-93|ancora construtora ltda
1078903|00011/2022|17.598.162/0001-76|MACARIO PRE MOLDADOS E METALURGICA LTDA.
1048665|000667/2022|44.534.366/0001-16|gs construcoes e meio ambiente ltda
1074900|00001/2022|30.836.850/0001-95|R & S ENGENHARIA E CONSULTORIA EIRELI
1044009|47/2022|04.441.785/0001-99|Construtora Suassuna & Martins Ltda.
1077250|00256/2022|26.947.586/0001-90|Coesa Locações & Serviços Eireli (Rescindido)
1073961|003/2022|27.776.149/0001-13|JOAO HIGOR PINTO DIAS
1041187|123/2022|42.733.975/0001-79|Duarte Martins Construções, Serviços e Locações Ltda.
1076177|0002/2022|07.242.420/0001-23|AF ENGENHARIA EIRELI
1074255|672/2022|19.493.224/0001-00|Consércio Sertão Ltda.
1072492|02006/2022|09.326.532/0001-98|LIVRAMENTO CONSTRUCOES, SERVICOS E PROJETOS EIRELI
1074479|11016/2022|00.338.885/0001-33|NOVATEC CONSTRUCOES E EMPREENDIMENTOS LTDA
1073355|032022/2022|04.441.785/0001-99|CONSTRUTORA SUASSUNA & MARTINS LTDA (DISTRATADO)
1076211|000132/2022|13.721.826/0001-91|PILAR EMPREENDIMENTOS EIRELI
1074241|20103/2022|04.672.369/0001-00|RTS ENGENHARIA CONST E SERVIÇOS
1013042|000116/2022|44.459.047/0001-93|ancora construtora ltda
1075979|009/2022|09.335.002/0001-06|CL CONSTRUCOES E SERVICOS LTDA
1079391|00003/2022|39.855.167/0001-70|THALYSON THELYNO DE SOUSA LIMA LTDA
1030585|000005/2022|01.658.745/0001-05|natal jose barbosa da silva eireli
1073182|00052022/2022|08.686.945/0001-10|JMR CONSTRUCOES EIRELI
1072287|000152021/2021|18.547.219/0001-70|D I T CONSTRUCOES, IMOBILIARIA E SERVICOS EIRELI
1078242|12/2022|19.854.079/0001-46|IMPERTEC CONSTRUCOES E SERVICOS LTDA
1077301|1043/2022|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS EIRELI
1045587|031001/2022|11.724.567/0001-27|humberto jose mendes da silva
1008388|002426/2022|20.227.311/0001-03|construtora j. galdino eireli
1077179|183/2022|21.784.773/0001-86|Projemaq Construções e Serviços Ltda.
1034348|010805/2022|25.144.118/0001-14|nova morada eireli
1073595|0052022/2022|08.686.945/0001-10|JMR CONSTRUCOES EIRELI
1061704|000065/2022|28.697.127/0001-20|jgm construtora ltda
1066008|000019/2022|22.576.181/0001-31|nobrega e souza construções ltda
1061702|000069/2020|28.697.127/0001-20|jgm construtora ltda
1077779|00073/2022|07.156.006/0001-00|M. J. B. PAIXAO  EIRELI
1080656|00004/2022|17.598.162/0001-76|MACARIO PRE MOLDADOS E METALURGICA LTDA.
1082417|163/2022|44.677.891/0001-90|Construtora Terra Forte Ltda
1077827|0042022/2022|36.158.514/0001-17|JOSE ROMESON FELISMINO DA SILVA CONSTRUTORA EIRELI
1043974|007049/2021|10.791.675/0001-50|potiguar construtora ltda
1075232|189/2022|41.284.989/0001-90|Construsol Empreendimentos e Serviços Eireli
1080617|282/2022|26.951.460/0001-99|J R MUNIZ ENGENHARIA  EIRELI
1081279|283/2022|21.408.538/0001-00|INFOMIX EIRELI
1056401|001202/2022|20.227.311/0001-03|construtora j. galdino eireli
1079399|0366/2022|15.364.149/0001-27|GMF CONSTRUCOES SERVICOS E LOCACOES LTDA
1076525|00012/2022|36.121.012/0001-11|PR CONSTRUCOES LTDA
1055747|000122/2021|40.760.485/0001-36|pierre jan de oliveira chaves eireli
1081367|004/2022|09.335.002/0001-06|CL CONSTRUCOES E SERVICOS LTDA
1068616|003/2022|33.506.391/0001-70|A S CONSTRUCOES EIRELI
1048180|000006/2022|01.079.262/0001-56|compacta construcoes, servicos e locacoes ltda
1063993|80/2022|10.629.235/0001-09|PB Construções e Comércio Ltda.
1079708|02081/2022|14.313.165/0001-28|Torres Construções Ltda
1073182|00052022/2022|08.686.945/0001-10|JMR CONSTRUCOES EIRELI
1073595|0052022/2022|08.686.945/0001-10|JMR CONSTRUCOES EIRELI
1008388|002426/2022|20.227.311/0001-03|construtora j. galdino eireli
1052751|000093/2022|46.292.978/0001-75|André Felipe Marcos de Lima
1073589|01341/2022|35.042.630/0001-03|SOMOS Construções Eireli
1052582|000156/2022|12.350.951/0001-70|gps gerenciamento de projetos e servicos ltda
1076092|103/2022|31.094.999/0001-09|MENDONCA E SILVA CONSTRUCOES E LOCACOES LTDA
1055291|000098/2020|29.878.872/0001-39|r f servicos de construcao civil ltda
1075256|00082/2022|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1077636|00013/2022|24.964.064/0001-70|T A FRANCA SERVICOS
1070839|0082022/2022|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA LTDA
1073762|05/2022|17.644.916/0001-87|G B N CONSTRUCOES LTDA
1082889|082022/2022|01.517.003/0001-60|JAMAILTON MARTINS DO CARMO  LTDA
1073764|871/2022|30.270.444/0001-08|R. Almeida dos Santos Construções e Serviços Ltda.
0442742|80/2019|69.939.239/0001-28|HIDROPLAST Industria e Comercio
0442742|81/2019|07.534.344/0001-20|MMG Comercio e Serviços
0442742|340/2021|08.722.308/0001-52|ICOL Industria da Construção LTDA
1080732|092/2022|08.438.654/0001-03|Polyefe Construções, Limpeza e Conservação Ltda.
1080658|004/2022|27.776.149/0001-13|SUSSUARANA ENGENHARIA E ARQUITETURA LTDA
1078434|0082022/2022|17.589.700/0001-66|CONSTRUTORA LCL LTDA
1081984|00675/2022|28.994.255/0001-36|Construtora Jew Ltda (DISTRATO)
1073866|00006/2022|40.599.842/0001-26|SC CONSTRUCOES LTDA
1047259|000032/2022|10.629.235/0001-09|pb construcoes e comercio ltda
1057202|000044/2022|28.697.127/0001-20|jgm construtora ltda
1076624|00036/2022|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1064031|00181/2022|14.175.618/0001-05|Construtora Realizar Ltda
1078633|0002/2022|17.415.942/0001-33|DEL ENGENHARIA  LTDA
1071613|0012022/2022|33.091.431/0001-60|CONSTRUTORA SF LTDA
1071613|0012022/2022|47.948.598/0001-09|CONSTRUTORA FREITAS FILHO LTDA
1078317|0.2.008/2022|09.578.438/0001-26|CONSTRUTORA CONSTRUPLAN LTDA
1045587|031001/2022|11.724.567/0001-27|humberto jose mendes da silva
1076205|00052022/2022|17.620.703/0001-15|CONSTRUTORA APODI LTDA
1075225|000007/2022|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA LTDA
1079316|0016/2023|40.097.914/0001-37|ANDERSON JUNIOR LIMA DA SILVA
1079758|013/2022|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA LTDA
1054122|010147/2021|14.206.183/0001-00|mac construtora ltda
1072590|088/2022|14.206.183/0001-00|MAC Construtora Eireli
1054122|010147/2021|14.206.183/0001-00|mac construtora ltda
1080604|00039/2022|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1045361|2005/2022|34.283.502/0001-99|Vanessa Cabral Leite de Souza Eireli
1076233|00004/2022|30.746.170/0001-80|LORD CONSTRUCOES E SERVICOS LTDA
1054539|058/2022|17.620.703/0001-15|CONSTRUTORA APODI LTDA
0418316|2214/2022|02.512.025/0001-08|CONSTRUTORA ALICERCE EPP
1081391|000032022/2022|30.746.170/0001-80|LORD CONSTRUCOES E SERVICOS LTDA
1079991|008/2022|15.058.898/0001-26|CONSTRUTORA NOSSA SENHORA DA PENHA LTDA
1076557|000135/2022|17.415.942/0001-33|DEL ENGENHARIA  LTDA
1046984|011009/2023|19.988.502/0001-09|bartolomeu a de sousa
1079044|00001/2023|12.541.735/0001-01|MAURILIO FERREIRA DA SILVA LTDA
1052884|695/2021|12.541.735/0001-01|Maurílio Ferreira da Silva Ltda (Distratado)
1081724|001/2023|21.933.413/0001-07|ISIDORO ENGENHARIA E CONSTRUÇÕES LTDA
1008388|002426/2022|20.227.311/0001-03|construtora j. galdino ltda
1064902|000122/2020|20.227.311/0001-03|construtora j. galdino ltda
1056401|001202/2022|20.227.311/0001-03|construtora j. galdino ltda
1008388|002426/2022|20.227.311/0001-03|construtora j. galdino ltda
1079914|0132022/2022|20.227.311/0001-03|CONSTRUTORA J. GALDINO LTDA
1081700|0011/2022|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA LTDA
0222916|2.08.004/2022/SECOB/PMCG|03.255.805/0001-74|EMPREITEIRA TAVARENSE EIRELI
1082409|40701/2022|17.287.720/0001-82|SILVA E LEITE CONSTRUÇÕES E SERVIÇOS LTDA
1074886|078/2023|08.369.786/0001-20|MPA CONSTRUCOES E PARTICIPACOES LTDA
1075458|00011/2022|46.695.850/0001-52|RM CONSTRUCAO LTDA
1082896|0012023/2023|23.429.439/0001-30|R M G CONSTRUCOES E SERVICOS LTDA
0352778|2.09.007/2023|06.944.399/0001-45|UEL JERONIMO DE SOUSA NASCIMENTO  - ME
1073897|00002/2022|17.177.202/0001-06|CONSTRUTORA PERFURACAO LTDA
1078477|009/2022|42.286.165/0001-11|FAJ CONSTRUCAO LTDA
1080591|0004/2023|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA
1066740|000100/2022|08.317.848/0001-50|apn construcoes e servicos ltda
1081752|00009/2022|24.658.568/0001-62|FM SERVICOS LTDA
1082420|112022/2022|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
0218859|11067/2022|09.267.923/0001-89|Sanccol Saneamento Constr. e Com.
1045587|031001/2022|11.724.567/0001-27|humberto jose mendes da silva
1067583|001/2023|33.091.431/0001-60|CONSTRUTORA SF LTDA
1074179|007/2022|00.976.179/0001-17|LINK ENGENHARIA INDUSTRIA E COMERCIO LTDA
1043974|007013/2018|73.041.188/0001-90|comercial e construtora fenix ltda
1082213|02/2023|20.227.311/0001-03|CONSTRUTORA J. GALDINO LTDA
1056401|001202/2022|20.227.311/0001-03|construtora j. galdino ltda
1081740|00080/2023|42.509.997/0001-50|AJCL CONSTRUCOES LTDA
1082213|02/2023|20.227.311/0001-03|CONSTRUTORA J. GALDINO LTDA
1070711|0021/2023|23.304.039/0001-06|JOSE CREZIO LOPES FILHO
1003827|000045/2020|33.444.745/0001-07|exata construcoes e engenharia ltda
1058950|01/2023|33.091.431/0001-60|CONSTRUTORA SF LTDA
1058950|01/2023|33.444.745/0001-07|EXATA CONSTRUCOES E ENGENHARIA LTDA
1080747|00115/2023|40.097.914/0001-37|ANDERSON JUNIOR LIMA DA SILVA
1030585|000067/2022|01.658.745/0001-05|natal jose barbosa da silva eireli
1077211|000032023/2023|36.972.451/0001-38|IGOR ROCHA DE BRITO LIRA
1078943|10055/2023|13.493.236/0001-59|CONSTRUTORA BRTEC LTDA
1082544|000012023/2023|08.317.848/0001-50|APN CONSTRUCOES E SERVICOS LTDA
1081410|027/2023|10.744.571/0001-94|Concrenor Construções do Nordeste Ltda.
1079368|00007/2022|12.924.624/0001-84|TCPAV  TECNOLOGIA EM CONSTRUCAO E PAVIMENTACAO LTDA
1076394|00015/2022|18.578.731/0001-84|CONSTRUTORA TRIUNFO LTDA
1080526|00013/2022|21.784.773/0001-86|PROJEMAQ CONSTRUCOES E SERVICOS LTDA
1082521|00078/2023|18.578.731/0001-84|CONSTRUTORA TRIUNFO LTDA
1067180|49/2022|09.469.705/0001-27|R & H ENGENHARIA LTDA
1079475|000012023/2023|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1082419|000012023/2023|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1075187|00044/2023|22.759.235/0001-02|SENA CONSTRUCOES LTDA
1081221|003/2023|30.688.363/0001-22|FRANCISCO DE ASSIS B PORTO
1081676|2101/2023|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES LTDA
1076605|58/2023|36.158.514/0001-17|JOSE ROMESON FELISMINO DA SILVA CONSTRUTORA LTDA
1079420|00007/2023|34.746.608/0001-81|ABIK ENGENHARIA E CONSULTORIA LTDA
1077206|00006/2023|27.404.267/0001-09|FRANCISCO EDIMAR FERNANDES CAVALCANTE
1081753|00056/2023|38.016.115/0001-47|CONSTRUTORA NOSSA SENHORA DA CONCEICAO LTDA
1079361|00055/2023|27.404.267/0001-09|GENINHO CONSTRUÇÕES, LOCAÇÕES E LIMPEZA URBANA LTDA
1081182|06/2022|42.540.677/0001-62|LIMA CONSTRUCOES E SERVICOS LTDA
1081681|00001/2023|05.052.764/0001-44|CONSTRUTORA GURGEL SOARES LTDA
1079922|00009/2022|34.746.608/0001-81|ABIK ENGENHARIA E CONSULTORIA LTDA
1079610|0004/2022|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA
1058950|002/2021|33.091.431/0001-60|CONSTRUTORA SF LTDA
1076069|1/2023|10.641.065/0001-70|NIEMAIA CONSTRUCOES LTDA
1076941|003/2023|22.635.788/0001-45|M3 CONSTRUCOES LTDA
1081090|00017/2022|31.172.201/0001-08|A L S CONSTRUCOES, SERVICOS E EVENTOS LTDA
1079514|0002/2023|22.635.788/0001-45|M3 CONSTRUCOES LTDA
1081385|00005/2022|40.285.889/0001-15|CONSTRUTORA MMV LTDA
1079389|024/2023|17.415.942/0001-33|DEL ENGENHARIA  LTDA
1081482|0001/2023|17.415.942/0001-33|DEL ENGENHARIA  LTDA
1066687|000070/2023|44.459.047/0001-93|ancora construtora ltda
1075228|40401/2022|31.094.999/0001-09|MENDONCA E SILVA CONSTRUCOES E LOCACOES LTDA
1073452|00005/2022|12.350.951/0001-70|GPS GERENCIAMENTO DE PROJETOS E SERVICOS LTDA
1079923|001/2023|27.775.391/0001-72|UNIBLOCK CONSTRUCOES E FABRICACOES LTDA
1079046|00055/2023|18.127.470/0001-86|Moura e Andrade Construtora e Incorporadora Ltda
1082753|0004/2023|11.150.150/0001-06|CONSTRUTORA DOIS IRMAOS LIMITADA
1077402|00090/2023-CPL|29.828.673/0001-16|AMETISTA CONSTRUTORA E EMPREITEIRA LTDA
1080755|00012/2023|48.991.155/0001-63|ASB Construções Empreendimentos Imobiliários e Locações em Geral Ltda
1079138|2.08.010/2023|09.323.098/0001-92|CONSTRUTORA ROCHA CAVALCANTE LTDA
1080166|00219/2023|29.102.727/0001-61|SEVERINO OLEGARIO DA SILVA NETO
0314279|000199/2023|04.672.369/0001-00|ranulfo tomaz da silva
0314279|000200/2023|13.408.085/0001-93|wjx construcoes e servicos de engenharia ltda
1063860|000123/2023|12.350.951/0001-70|gps gerenciamento de projetos e servicos ltda
1080521|00012023/2023|08.369.786/0001-20|MPA CONSTRUCOES E PARTICIPACOES LTDA
1075545|00008/2022|27.944.573/0001-20|B2 CONSTRUCOES LTDA
1077656|00010/2022|20.949.329/0001-00|PRIIMEE.CONSTRUCOES E EMPREENDIMENTOS LTDA
1075704|007/2022|07.534.377/0001-70|HARG EMPREENDIMENTOS, CONSTRUCOES E INCORPORACOES LTDA
1078979|00076/2023|33.665.164/0001-97|F V DOS SANTOS LTDA
1081465|014/2023|42.509.997/0001-50|AJCL Construções Ltda
1081392|00014/2022|40.603.807/0001-33|JAF CONSTRUCAO E CONSULTORIA LTDA
1078944|001/2023|15.233.791/0001-77|CONSTRUTORA PRINCESA DO VALE LTDA
1082413|030/2023|43.339.438/0001-01|SPX Construção e Serviços Ltda
1077252|001/2023|12.102.978/0001-43|M L S - Construção Civil Ltda.
1058886|0012023/2023|35.590.090/0001-00|HUMBERTO RAMALHO TRIGUEIRO MENDES
1079677|20901/22|29.878.872/0001-39|R F Serviços de Construções Civil Eireli
1075355|022023/2023|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1076376|00003/2023|14.991.955/0001-62|JOSE GEOVASIO FERNANDES DA SILVA
1079871|01.0166/23|29.828.673/0001-16|Ametista Construções e Serviços Eireli
1081395|01.0184/2023|31.246.932/0001-42|CONSTRUTORA H S LTDA
1070151|00002/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES LTDA
1075382|00012023/2023|25.165.699/0001-70|CLPT CONSTRUTORA LTDA
1052884|391/2023|35.042.630/0001-03|Somos Construções Ltda (Lote IV)
1052884|390/2023|12.541.735/0001-01|Maurílio Ferreira da Silva Ltda. (Lote I)
1061652|000081/2023|08.597.968/0001-59|malog construcoes e servicos ltda
1052884|396/2023|19.493.224/0001-00|Consórcio Sertão Ltda (Lote II)
1052884|516/2023|36.240.305/0001-18|Gerplan Engenharia Ltda. (Lote III)
1082242|545/2023|18.716.666/0001-06|Engemax Construções e Engenharia Ltda.
1081756|00165/2023|26.743.365/0001-08|FREITAS SERVICOS DE ENGENHARIA LTDA
1077807|00176/2023|40.628.974/0001-39|HUMAITA CONSTRUCOES LTDA
1044210|000180/2023|36.428.864/0001-56|construtora nacional locacoes e servicos ltda
1071300|112023/2023|03.594.631/0001-74|ARTCIL CONSTRUCOES LTDA
1078134|00025/2023|27.776.149/0001-13|SUSSUARANA ENGENHARIA E ARQUITETURA LTDA
1081417|0036/2023|30.083.868/0001-63|R F ENGENHARIA EIRELI
1077238|032023/2023|36.428.864/0001-56|CONSTRUTORA NACIONAL LOCACOES E SERVICOS LTDA
1075227|012023/2023|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1070151|00002/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES EIRELI
1080614|00232/2023|04.326.123/0001-78|N & S CONSTRUCOES E PROJETOS LTDA
1070151|00002/2021|25.080.166/0001-96|FERREIRA ALVES SERVICOS DE CONSTRUCOES LTDA
1070151|00002/2021|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1080823|00063/2023|02.978.751/0001-02|F G CONSTRUCOES LTDA
1080528|00005/2023|21.933.413/0001-07|TORRES E ANDRADE CONSTRUCOES, PRE - MOLDADOS E SERVICOS LTDA
1080750|180/2023|41.284.989/0001-90|Construsol Empreendimento e Serviços Eireli ME
1075535|00007/2022|27.944.573/0001-20|B2 CONSTRUCOES LTDA
1081392|00014/2022|22.635.788/0001-45|M3 CONSTRUCOES LTDA
1076394|00001/2023|18.578.731/0001-84|CONSTRUTORA TRIUNFO LTDA
1080756|00077/2023|47.918.526/0001-19|Monteiro Engenharia Ltda
1081479|01.085/2023|34.955.075/0001-48|JHONATAN ANDRADE DA SILVA LTDA
1076975|0004/2023|30.999.688/0001-26|JMSV CONSTRUCOES LTDA
1080737|00187/2023|32.203.652/0001-10|LUIZ GONZAGA DE MEDEIROS JUNIOR
1046933|01/2021|39.411.366/0001-99|PAINEL ENGENHARIA & SERVIÇOS LTDA
1081428|082023/2023|09.335.002/0001-06|CL CONSTRUCOES E SERVICOS LTDA
1075374|00032023/2023|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1082421|00001/2023|16.707.246/0001-38|JAILSON BATISTA DOS SANTOS
1082663|128/2023|20.284.072/0001-15|F J Construções e Serviços Ltda.
1077112|00002/2023|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1058950|002/2021|33.091.431/0001-60|AF CONSTRUTORA LTDA
1058950|01/2023|33.091.431/0001-60|AF CONSTRUTORA LTDA
1071615|112023/2023|24.606.073/0001-90|CONSTRUTORA ALVES E CONSERVA LTDA
1077722|00187/2023|19.744.104/0001-39|RETA CONSTRUCOES E SERVICOS LTDA
1066506|0002/2023|12.096.959/0001-51|T4 ENGENHARIA E SERVICOS LTDA
1065988|00052023/2023|33.091.431/0001-60|AF CONSTRUTORA LTDA
1058653|00004/2023|13.408.085/0001-93|WJX CONSTRUCOES E SERVICOS DE ENGENHARIA LTDA
1044009||00.000.000/0000-00|Equipamentos (a licitar)
1077212|00018/2023|30.272.239/0001-81|Catão Bongiovi Comércio e Serviços Eireli
1078447|2.03.01/2023|18.044.473/0001-56|CONSTRUTORA MENDONCA LTDA
1018448|060001/2023|08.438.654/0001-03|Polyefe Construções, Limpeza e Conservação Ltda
1080659|4004/2023|20.284.072/0001-15|F J CONSTRUCOES E SERVICOS LTDA
1075374|00032023/2023|29.878.872/0001-39|R F SERVICOS DE CONSTRUCAO CIVIL LTDA
1075704|0072022/2022|07.534.377/0001-70|HARG EMPREENDIMENTOS, CONSTRUCOES E INCORPORACOES LTDA
1067583|001/2023|33.091.431/0001-60|AF CONSTRUTORA LTDA
1076699|20075/2023|35.586.809/0001-21|A.R.J. Monteiro Construções e Serviços Eireli
1077722|187/2023|19.744.104/0001-39|RETA CONSTRUCOES E SERVICOS LTDA
1061854|000011/2020|22.346.772/0001-12|savires iluminacao e construcoes ltda
1063896|337/2023|39.472.830/0001-57|Radiante Serviços e Locações
1055999|000013/2020|22.346.772/0001-12|savires iluminacao e construcoes ltda
1079621|0095/2023|12.072.392/0001-83|AGRESTE CONSTRUTORA E COMERCIO LTDA
1075429|00006/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1080219|042023/2023|17.560.794/0001-40|E L F TEIXEIRA CONSTRUCOES E SERVICOS LTDA
1081375|001/2023|28.709.222/0001-05|EMPROTEC ENGENHARIA LTDA
1077255|00067/2023|35.042.630/0001-03|SOMOS CONSTRUCOES LTDA
1075435|00006/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1075433|00006/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1075434|00192/2023|19.988.502/0001-09|BARTOLOMEU A DE SOUSA LTDA
1082232|198/2023|46.706.359/0001-80|SANTORINI CONSTRUCOES E ENGENHARIA LTDA
1076822|00121/2023|21.933.413/0001-07|TORRES E ANDRADE CONSTRUCOES, PRE - MOLDADOS E SERVICOS LTDA
1078259|02031/2023|14.313.165/0001-28|Torres Construções Ltda
1079387|00009/2023|37.927.953/0001-00|V N Construções Eireli
1078327|00228/2023|30.746.170/0001-80|LORD CONSTRUCOES E SERVICOS LTDA
1068980|000148/2023|28.709.222/0001-05|emprotec engenharia ltda
1078288|211/2023|09.560.394/0001-07|PILOTIS - PROJETOS E CONSTRUÇÕES LTDA
1065881|000148/2023|28.709.222/0001-05|emprotec engenharia ltda
1084123|00003/2023|26.146.067/0001-22|PBFORT CONSTRUCOES LTDA
1068980|000148/2023|28.709.222/0001-05|emprotec engenharia ltda
1075351|000032023/2023|08.438.654/0001-03|POLYEFE CONSTRUCOES, LIMPEZA E CONSERVACAO LTDA
